tgin,hgin,tgout,hgout,ph,tliq,co2in,co2out,dp,vg,dustrak,cmd,nc,mass,ambpm,driftmgkg,loading,co2diff,fliq,packing,medium,disb,divice
26.5,32.1,20.8,68.1,10.87,12.1,395,359,1.5,10,0.028,24,28700,3.69,0.022,0.009649123,medium,36,15,fill_block_o,taurate,hc,ct
26.74199,32.1,20.8,68.1,10.87,12.1,395,389,1.5,10,0.022,24,35600,6.02,0.022,0.008795144,medium,6,0,fill_block_o,taurate,hc,ct
22.1,39.4,20,67.8,10.88,17.7,405,289,0,4,0.03,26,40700,7.45,0.004,0.010934579,medium,116,40,fill_block_o,taurate,hc,ct
22.6,38.7,19.2,71.3,10.9,17.1,401,314,1,6,0.026,27,24000,6.4,0.004,0.007324766,medium,87,40,fill_block_o,taurate,hc,ct
23,35.6,18,74.3,10.9,16.4,396,339,1.5,12,0.011,27,31200,6.32,0.004,0.007885514,medium,57,40,fill_block_o,taurate,hc,ct
23,36.7,17.4,75,10.9,16.1,395,356,3.5,19,0.009,26,39100,4.93,0.004,0,medium,39,40,fill_block_o,taurate,hc,ct
23.3,36,17.5,74.3,10.9,16.1,394,361,6,25,0.008,28,36600,7.93,0.004,0.000564706,medium,33,40,fill_block_o,taurate,hc,ct
23.3,36,17.5,74.3,10.9,16.1,394,394,6,25,0.004,24,14700,3.96,0.004,0.002629444,medium,0,0,fill_block_o,taurate,hc,ct
20,84.1,20.3,87,10.68,20,395,312,1,4,0.02956981,48.18452,16134.399,9.674101,0.004,0.011090047,high,83,40,fill_block_o,taurate,hc,ct
18.4,86.4,19.3,87.4,10.69,19.4,386,323,1,6,0.026,52,6950,11.9,0.004,0.010876777,high,63,40,fill_block_o,taurate,hc,ct
17.6,86.4,18.4,88.4,10.71,18.6,388,343,2,12,0.017,54,2180,4.39,0.004,0.00431872,high,45,40,fill_block_o,taurate,hc,ct
17.7,87.1,18.8,89.2,10.72,17.8,385,352,4,18,0.005,50,2240,3.34,0.004,0,high,33,40,fill_block_o,taurate,hc,ct
17.6,84.3,17.5,88.8,10.72,17.6,384,356,5,24.3,0.005,53,2780,5.85,0.004,0.000855107,high,28,40,fill_block_o,taurate,hc,ct
17.6,84.3,17.5,88.8,10.72,17.6,384,384,5,24.3,0.004,35,2820,4.15,0.004,0.002629444,high,0,0,fill_block_o,taurate,hc,ct
30.1,56.1,26.3,84.7,13.35,26.1,398,336,0.3,6,0.032511568,48.18452,16134.399,10.617351,0.004,0.011943885,medium,62,5,fill_block_o,taurate,hc,ct
31.2,55.5,26.3,87,13.36,25.7,396,316,0.3,6,0.032511568,48.18452,16134.399,10.617351,0.004,0.011943885,medium,80,10,fill_block_o,taurate,hc,ct
31.2,55.5,26.3,87,13.36,25.7,395,328,0.3,6,0.032511568,48.18452,16134.399,10.617351,0.004,0.011943885,medium,67,10,fill_block_o,taurate,hc,ct
31.2,55.5,26.3,87,13.36,25.7,393,321,0.3,6,0.032511568,48.18452,16134.399,10.617351,0.004,0.011943885,medium,72,10,fill_block_o,taurate,hc,ct
31.2,55.5,26.3,87,13.36,25.7,392,329,0.3,6,0.032511568,48.18452,16134.399,10.617351,0.004,0.011943885,medium,63,41.02326,fill_block_o,taurate,hc,ct
31.2,55.5,26.3,87,13.36,25.7,389,302,0.3,6,0.032511568,48.18452,6218.076,9.973635,0.004,0.011943885,medium,87,40,fill_block_o,taurate,hc,ct
31.2,55.5,26.3,87,13.36,25.7,389,349,0.3,6,0.030847832,48.18452,6218.076,8.678187,0.004,0.011943885,medium,40,5,fill_block_o,taurate,hc,ct
29.1,48.3,24.4,80.1,12.95,23.4,384,298,0.7,6,0.032511568,58,8290,7.9,0.004,0.011943885,medium,86,55,fill_block_n,taurate,hc,ct
29,48.1,23.9,82,12.97,22.8,384,299,0.7,6,0.032511568,63,9470,9.19,0.004,0.011943885,medium,85,40,fill_block_n,taurate,hc,ct
29.1,50.4,23.6,82.4,12.97,22.6,381,321,0.5,6,0.032511568,49,5390,4.21,0.004,0.008520261,medium,60,30,fill_block_n,taurate,hc,ct
23.5,52,29.1,84.2,12.97,22.6,383,327,1,9,0.027409371,48,2300,2.56,0.004,0.008520261,medium,56,30,fill_block_n,taurate,hc,ct
29.1,51,24.2,84.2,12.97,22.7,384,277,0.4,4,0.032511568,52,6010,5.37,0.004,0.008520261,medium,107,30,fill_block_n,taurate,hc,ct
29.1,51,24.2,84.2,12.97,22.7,384,384,0.4,11.42895,0.019336874,51,2860,4.25,0.004,0.007385959,medium,0,0,fill_block_n,taurate,sp_3arm,ct
24.4,76.5,23,89,12.65,23.4,385,314,0.3,6,0.027409371,43,2460,3.45,0.002,0.008520261,medium,71,10,fill_block_n,taurate,sp_3arm,ct
24.7,74.7,22.9,90.8,12.67,22.7,383,328,0.7,9,0.027409371,57,3130,7.83,0.002,0.011943885,medium,55,10,fill_block_n,taurate,sp_3arm,ct
24.9,74.5,23.2,90.3,12.67,22.5,383,286,0.2,4,0.027409371,44,2100,6.83,0.002,0.011943885,medium,97,10,fill_block_n,taurate,sp_3arm,ct
25.3,72.2,22.8,90.7,12.68,22.3,385,323,0.3,6,0.027409371,49,1410,3.9,0.002,0.008520261,medium,62,5,fill_block_n,taurate,sp_3arm,ct
25.4,72.4,22.9,90.6,12.3,22.3,384,294,0.3,6,0.027409371,46,1670,3.98,0.002,0.008520261,medium,90,10,fill_block_n,taurate,sp_3arm,ct
27.8,63.4,24.4,86.6,12.58,23.6,385,323,0.4,6,0.030351129,90,4080,13.8,0.002,0.011943885,medium,62,10,fill_block_n,taurate,sp_3arm,ct
28.2,60.7,23.8,88.5,12.59,23.3,380,342,0.9,12,0.021497314,534,8240,787.8,0.002,0.010809583,medium,38,10,fill_block_n,taurate,sp_3arm,ct
28.2,60.5,23.8,87.8,12.59,23.2,380,356,1.8,18,0.019167643,68,4900,47.7,0.002,0.007956418,medium,24,10,fill_block_n,taurate,sp_3arm,ct
28.2,60.1,23.7,87.7,12.6,23.2,382,357,1.8,18,0.019167643,70,5310,10.6,0.002,0.007956418,medium,25,55,fill_block_n,taurate,sp_3arm,ct
28.2,59.8,23.8,88.2,12.6,23.1,382,347,0.9,12,0.019336874,64,3460,7.13,0.002,0.010809583,medium,35,55,fill_block_n,taurate,sp_3arm,ct
28.3,58,23.8,87.6,12.6,23,383,330,0.4,6,0.030351129,68,3140,5.69,0.002,0.008520261,medium,53,55,fill_block_n,taurate,sp_3arm,ct
28.4,57,23.5,87,12.6,23,385,337,0.4,6,0.030351129,56,1740,3.4,0.002,0.008520261,medium,48,5,fill_block_n,taurate,sp_3arm,ct
28.4,54.3,23.5,84.3,12.61,22.9,386,360,0.6,9,0.030847832,57,5860,7.24,0.002,0.011943885,medium,26,3,fill_block_n,taurate,sp_3arm,ct
27.1,51.4,23.5,83.3,12.61,22.7,387,355,0.4,6,0.028687393,57,4560,5.79,0.002,0.008520261,medium,32,3,fill_block_n,taurate,sp_3arm,ct
27.1,51.4,23.5,83.3,12.61,22.7,387,387,0.4,6,0.028687393,60,4260,7.84,0.002,0.011943885,medium,0,0,fill_block_n,taurate,sp_3arm,ct
23.2,56.3,21.3,72.8,10.02,21,387,353,0.2,6,0.027888492,45,849.6,1.75,0.003,0.008520261,medium,34,3,fill_block_n,taurate,sp_3arm,ct
23.5,55.4,20.9,75.3,10.03,20.2,387,343,0.2,6,0.027409371,36,820.8,1.47,0.003,0.008520261,medium,44,5,fill_block_n,taurate,sp_3arm,ct
24.3,54.4,20.7,87.9,10.03,19.8,391,341,0.2,6,0.027409371,34,1660,2.38,0.003,0.008520261,medium,50,5,fill_block_n,taurate,sp_3arm,ct
24.5,57.6,21,79,10.03,19.8,384,315,0.1,4,0.027409371,46,658.7,1.71,0.003,0.008520261,medium,69,5,fill_block_n,taurate,sp_3arm,ct
23.8,58.6,20.6,79.6,10.02,19.8,388,342,0.8,12,0.018058852,54,446.7,1.43,0.003,0.007385959,medium,46,5,fill_block_n,taurate,sp_3arm,ct
23,60,20.6,78.4,10.02,19.6,384,356,1.7,18,0.014065446,55,477.9,1.6,0.003,0.00537152,medium,28,5,fill_block_n,taurate,sp_3arm,ct
23.1,61.9,20.6,78.6,10.02,19.7,396,366,3.4,24,0.014065446,66,539.4,1.64,0.003,0.004532794,medium,30,5,fill_block_n,taurate,sp_3arm,ct
23.1,61.9,20.6,78.6,10.02,19.7,396,396,3.4,24,0.016225885,36,18800,4.18,0.003,0.004532794,medium,0,0,fill_block_n,taurate,sp_3arm,ct
25.3,61.1,22.5,72.7,9.82,22.1,387,357,0.1,6,0.027888492,60,855.6,2.11,0.003,0.008520261,high,30,2,fill_block_n,taurate,sp_3arm,ct
25.6,60,22.7,79,9.81,21.9,390,357,0.3,6,0.025745634,57,583.4,1.22,0.003,0.008520261,high,33,5,fill_block_n,taurate,sp_3arm,ct
25.6,59.3,22.6,81,9.8,21.8,386,347,0.3,6,0.025745634,33,1760,1.95,0.003,0.008520261,high,39,5,fill_block_n,taurate,sp_3arm,ct
26.1,57.5,22.8,80.3,9.81,21.8,386,328,0.2,4,0.027409371,179,4210,84.1,0.003,0.011943885,high,58,5,fill_block_n,taurate,sp_3arm,ct
26.7,57.3,22.8,80,9.81,21.8,388,356,1,12,0.019336874,94,2300,28.9,0.003,0.010809583,high,32,5,fill_block_n,taurate,sp_3arm,ct
26,58.6,23,78.1,9.81,21.9,390,363,2,18,0.014065446,33,962.6,2.2,0.003,0.004532794,high,27,5,fill_block_n,taurate,sp_3arm,ct
25.5,63.9,23.1,78.9,9.81,21.9,386,368,3.3,24,0.014065446,34,1260,1.77,0.003,0.004532794,high,18,5,fill_block_n,taurate,sp_3arm,ct
24.6,77.6,24.7,86,10.03,31.2,395,339,0.2,6,0.027409371,68,1930,3.67,0.003,0.008520261,low,56,2,fill_block_n,taurate,sp_3arm,ct
25.3,74.1,25,84.6,10.08,29.3,386,336,0.2,6,0.027409371,76,4370,7.34,0.003,0.011943885,low,50,5,fill_block_n,taurate,sp_3arm,ct
25.2,72.8,25,86.1,10.12,27.6,386,320,0.3,6,0.027409371,73,4110,6.94,0.003,0.011943885,low,66,5,fill_block_n,taurate,sp_3arm,ct
25.5,73.1,25.1,85.1,10.15,26.7,386,299,0.1,4,0.027409371,72,2720,5.31,0.003,0.008520261,low,87,5,fill_block_n,taurate,sp_3arm,ct
25.6,74.1,24.3,84.1,10.17,25.4,384,343,1,12,0.016395116,61,1300,2.62,0.003,0.007385959,low,41,5,fill_block_n,taurate,sp_3arm,ct
25.5,73.4,24,84.4,10.19,24.8,385,343,1.9,18,0.014065446,56,878,1.82,0.003,0.004532794,low,42,5,fill_block_n,taurate,sp_3arm,ct
25.5,72.7,23.9,84.2,10.19,24.4,389,352,3.1,24,0.014065446,46,951.5,1.71,0.003,0.004532794,low,37,5,fill_block_n,taurate,sp_3arm,ct
28.2,50.3,23.9,76.5,12.26,22.4,390,339,0.2,6,0.032511568,85,5970,20.8,0.003,0.011943885,low,51,5,fill_block_n,taurate,fc,ct
28.4,47.8,23.4,76.4,12.3,22.3,390,320,0.3,6,0.032511568,104,6630,32.9,0.003,0.011943885,low,70,5,fill_block_n,taurate,fc,ct
28.7,45.6,23.7,75.7,12.31,22.3,390,319,0.3,6,0.032511568,91,6920,35.6,0.003,0.011943885,low,71,5,fill_block_n,taurate,fc,ct
28.2,47,23.5,73.9,12.32,22.2,389,298,0.1,4,0.032511568,110,5820,34.4,0.003,0.011943885,low,91,5,fill_block_n,taurate,fc,ct
28.4,48.1,23.4,74.2,12.34,22.1,390,339,1,12,0.02316105,85,5350,21.2,0.003,0.010809583,low,51,5,fill_block_n,taurate,fc,ct
28.8,42.2,23,74.2,12.34,22.1,393,351,1.8,18,0.019167643,101,4990,19.6,0.003,0.007956418,low,42,5,fill_block_n,taurate,fc,ct
28.8,42.9,23.2,72.2,12.34,21.9,387,350,1.8,24,0.019150061,99,3470,15.2,0.003,0.007956418,low,37,5,fill_block_n,taurate,fc,ct

